,Reviews
12,"8GB RAM, 128 GB ROM65 Watt Super Dart Charger - Battery full in 30 Mins so no worries before going out, Battery gets full before you get ready. Loud enough Single speaker3.5 MM JackHandy and lightweight 120Hz Amoled screen64 MP Camera....with good image clarity and dynamic range. 32 MP selfie also does a good job.GT mode for gamingDelivered in 2 days, fast delivery service.What else do you need in life ??? I am loving it !!!"
13,It's not camera phone but Camera is also decent  in  under 20k btw battery is also good and battery charging is very very fast gaming experience is also good support 60FPS In Smooth in BGMI all over experience is Very Good.. Go for it .🤙
14,My review after 7 days usage:- camera is good and you never get camera like this in any other phoneSpeed:- 8 gb ram work as well : Display mind-blowing refresh Hertz very smooth And happy to display  parformance . battery🔋:- I charge in morning in fully and complete office work 12 hours complete and no charge required in working hours battery performance average good  sound-: sounds are clearly music and .Additional features very interested 30 minutes are phone was full charged 100% and mo...
15,"3 days experience.Pros :  1. Amazing performance.2. Mind blowing display.3. Good camera.(not excellent, but ok)4. Nice disign.5. Super gaming.6. Butter smooth experience. No lags.7. Super fast charging.8. Light weight.Cons :1.  low quality sound experience.2. Few unwanted aaps.3. I will update later if found."
16,"Good and decent phone. Pros: display and performance, quick charging 35mins full charge, you will love the speed and screen.Cons: decent battery and not that great camera-wise, day time camera capture well but night time its not that great.Last word about mobile: if you want a good camera and good battery then this mobile is not recommended."
17,"Super phone at this segment , guys it is a good phone, even it can beat Nord phone :-Processing is very good Charging  superfastCamera good both real and front best part is wide angel which is used during the videosPhone weight is very light, it good for carry Gt mode super for play pubg"
18,Battery lo  good charger very fast best handy phone
19,"I duno why they say the battery is average of this phone . I think is so good. It doesn't feels like it's only 4.3k mah, it's more than that. Today is my 1 month of  using this phone . I'm pretty much happy with this device . I'm getting 8-9 hours of screen on time , if you use it hardcore , like gaming and stuff for continually you'll get approximately about 5-6 hours screen on time , it only requires 30 minutes to get fully charged bang ! Happy user 😊"
20,"It's really a master design by Naoto Fukasawa.Over a all-rounder smart phone.Loving each and every moment with this phone.In the box: 1: One smart phone 📱2: Type C cabel 3: Sim ejector pin 📍4: realme case Thanks realme & filpkart the packaging, delivery is fabulous."
21,"Screen quality - 10/10  so smoothBattery & charging - 9/10  balanced with blazing fast chargerPerformance - 10/10  Really impressed with optimizationCamera - 7/10  need a lot improvement, but night mode is impressiveBuild quality - 10/10.   It feels premiumRam management - 9/10. Gives awesome optimizationOverall a good phone with compact design, easy to use by one hand.AFTER 1 WEEKBattery draining,  it gives me around 6 hrs of heavy multitasking, one can not feel much differenc..."
22,"Pros :1. Snapdragon 778G is a powerful and battery efficient chipset. You can rely on it blindly for the next 3 years.2. 120Hz SuperAmoled display. The display is really mesmerizing.3. Realme UI gives one of the best software experience. No lag, no stutters. Most of the bloatware on Realme UI can be uninstalled. MIUI is full of bugs, bloatware and ads these days. MIUI is the main reason I cancelled my Xioami 11i order.4. The in-box cover is excellent. You'll love it!5. Signal reception a..."
23,Best flagship in best time (Flipkart days)Thank you to Flipkart for this flagship killer provided in best price.ProsGreat design uncommon120Hz displayDecent battery backup65W fast charging 100% in 36 minsGood performance less bloatwareGood street photography and potrait performanceAuto refresh ratePhone built quality as well as leather caseConsCamera performance need to optimize Photo integrationLow light photography4k video not upto mark
24,1 bought this phone one month ago performace was very well absolutely good display but I should say one thing the display is not durable my phone fell from my waist height and the display is broken. now I think everyone should change the pre-installed screencard as soon as possible if I had done it wouldn't have happened and my last phone was realme 3 pro it had a better durable display compared to realme gt me I could only imagine how many times it fell from my hand and nothing happend till ...
25,"Pros:-1.Display is best in class and outdoor visibility is also best.2. Design language is also best voyager grey colour is unique and design is like a suitcase type.3. Realme UI is butter like smooth no lagging issue found using almost from the 20days .4. In display fingerprint sensor working fast.5. It's support 4g+, it's a great feature like carrier aggregation better network stability.6. I am not gamer but install NFS and its plays like butter no lags or frame drop found till .7. ..."
26,Master edition is just for a name. Not the best phone of realme brand. Don't rush to buy this product. Not worthy of spending 25k+.Battery charging fast and battery drain very fast.Hope of the product high.but actually product poor .Phone almost feels like ticking all the boxes but in actual it's not the case.Phone design is good.
27,"Got this mobile on a nice deal in BB day. First I had slight hesitation in buying realme mobile for a huge price,but the deal was irresistable hence decided to go for it, Camera- One of the best in market for natural light environment at this price.Performance- Top notch, butter smooth in the price range.Battery- Very quick ,though 4k mah ,not much to worry coz of 65W charger.Speaker- Though single speaker, loud enogh.Other positivesLook and feelUI optimization featuresFlip sidesPr..."
28,"I got this realme GT me in 14.5k with exchange offer. the performance is top notch in that price.pros : great display with true color, 360hz touch sampling rate, good in gaming.cons: build quality is not good, side frame got scratches with a small fall from my hand, but screen didn't get scratch at all, camera quality is not good. realme 8 and realme GT me has same camera setup but skin tone is not good, focus hunting in video mode.carrier aggregation is not there , it cannot use multiple ..."
29,Camera- best camera in this range better than OnePlus nord 2 .Performance-nodoubt outstanding performance this 778G chipset no lag in BGMI i play everyday 5-6 hr.Battery- okay okay 65 watt charger doesn't feel .Display-emmersive display 120hrtz screen feel that premium ness.I Like Realme Smartphone UI its better than XiaomiBuilt Quality also good
30,The Display is not that bright 🌞😎 but Processor is good .it's is very stable . If you got this phone in a good deal or in sale than go for it or buy latest Neo 2 . Camera can be improved I'm really disappointed ☹️ .1. Light weight and Handy enough you'll enjoy while using .
31,"After 15days use phone was very good , only con is battery life they can fix this in an update. Other things like camera, display, performance are very good at this price point (I bought in BBD's) I like the most is the display and fast charging ,5% to 100% just 30mins to charge very good.... Except battery,I love everything in phone... I'll give 4/5 rating overall, because of battery I gave 4/5."
32,"Everything is going good ,but suddenly while typing the keypad, it suddenly goes back without clicking back button, noticed this rarely but in a model like this realme should take care of this bugs,camera is okay, gaming is super cool,battery is again okay, performance wise it's premium."
33,Really a very osm Device at this price range..Osm camera elegant design & features... it's such a light weight...the camera is so clear & working smoothly....I loved it.. thank uhh Flipkart 🥰🥰
34,Best in quality and price in this range..till now it is working fine and performance is good and  upto the mark....i will  definitelyrecommend  this real me  phone..
35,"If you have got millions buy Apple Samsung Oneplus for 50k or 1L but if you are not brand centric this beauty is for you....I am not full time gamer but I do play games....I am a good photographer (not professional though) but must tell you it is difficult to beat its performence, Processor, Display,Battery, Camera, huge Internal storgae, good RAM management, believe you me do whatever you want with this phone you will not find any dearth."
36,The mobile was very good but firstly give fast updates and there was a camera problem the colour very low light make the camera a bit bright the display is a bit yellowish make it normal by updates and lastly the processor is very good Charing Speed is next level 0-100 full charge in 30 mins give updates first and make the camera and display issue fix and mobile is very good with its unik design
37,Phone is very handy.had some bloatware but it can be uninstalled.camera is very impressive I compared it with my OnePlus 9r nd it was really better than 9r.close shots and night mode were better in op but other images very good in GT
38,"Pros:1. In-hand feel superb & lite weight, compact too2. No issues in performance3. Decent display & Decent cameras4. Good built quality5. Full charge in just 30minCons:1. No dual speakers but single speaker loud enough2. No Dolby Atmos support but supports hi-res audio"
39,I'm Very Happy and Satisfy for This Compact Great Product
40,"1. First of all camera performance is not upto the mark. Camera's  performance in low light is very bad, i have my old device ( realme 3 pro ) which is far better than this device even after 2.5 years.2. Battery performance is also not upto mark it can give upto 6-7 hours of backup. But good think is that you get 65 w superdart charger in the box.3. No complain about the display quality and the stunning look of the device.4. If you are looking for a device in range 26-28k go for realme ..."
41,Pros..1. Very Handy to hold for long time2. Premium look3. Awesome display4. Face recognition & fingerprint are accurate5. No lagging at all6. 30 min super fast chargingCons..1. Average Cameras both rear and front at this price segment2. Charging life is low but covered with 65W Charge3. Minor heating issue while chargingOverall it's Ok but not the MASTERGood deal if you get @ 16k
42,"Review based on 10 days usages :- Camera is awesome , good pixel clarity Battery is ok ok but charging is very fast so it is manageableBecause of 8 GB RAM , NO lagging during app switching Look wise it's trendy and gripping is good All together good phone in 20k+ range"
43,"Camera back side third class like 5thosands phone ,front camera ok,display 4/5,Camera front 4/5and back 1/5, battery backup 3/5, battery charging 5/5,Sound through Speaker 3/5,sound through headphone 4/5,lag in this phone even if my moto 20 fusion normal application open quickly  than it,and moto software experience is awesome,even back cam  photo in moto is not good but sharp and far better compare to it ,it's back  cam photo is too soft."
44,"Performance-wise phone is stable SD 778 does its job perfectly for your daily activities, I don't know about gaming performance since I never play games on phones.Battery life is decent it lasts for a typical day but this won't bother you since the charging is super cool fast.Look Wise phone is pretty premium.I got this with a very good exchange offer so bought it otherwise would never have got it considering another option by paying just 2k extra which is Nord 2."
45,"I'm writing this review after using this mobile more than 15 day's of usage😊I got it this mobile in offer period with 22k for 8gb/256gb model😜 it was very good deal😉Pros😎1)This mobile battery backup its getting around 17 to 18hrs with normal usage, for medium usage get around 12 to 13hrs, heavy usage 8 to 9hrs.Charging time just 31min for full charge from 1 to 100%.I played PUBG with HDR high graphics 60fbs mode with 100% battery backup. after I played continuously 7hrs then batte..."
46,Better than Realme 7pro/8pro atleast in terms of:PerformanceBatteryScreen sizeRefresh rateFront camera is a huge disappointment.Rear camera is good enough but this can't be camera mobile.Not good for heavy Gamer.
47,Camera is not very good.Battery is just impressive.Display one of the best in this price segment.Charging speed is beast.Although a good buy in this price segment if you are not looking for the very good camera.
48,"1.Performance- Everything is fluid and multi tasking is done very easily. All types of games can be played with good graphics settings.2.Display- It is the most talking point of the mobile and it lives upto the expectation, colours are vibrant brightness is good 120hz panel is very smooth in animations.3.Battery- Battery is on the okish side it would definitely last one day with Normal usage, with heavy gaming and entertainment you would have to charge it in between.Best thing is you get ..."
49,"Disappointing.I have been an Android user for almost 11 years now. Have used the following brands - Samsung, Micromax, Honor, Xiaomi and Realme before this phone. I generally don't repeat brands and this was the  first time I repeated a brand due to the excellent performance of my previous realme phone (pro 3). That phone was fast and worked flawlessly over 30 months. Even at 30 months it was giving 24 hours battery backup. I don't play energy intensive games or watch long videos. Apart from..."
50,Its a fantastic mind blowing phone Zing zing amazing Wonderfu magic in this phone Very very reasonable 5g phone
51,Excellent phone.Battery is bit less i.e. 4300mah.Front camera is good but not giving  32mp experience performance.Rear camera is too good.Design & Look is premium.Back cover given in box is too sexy.Great features like NFC makes life easier for Debit/Credit card use.
52,"If you can get it around 20-21k it's a very good deal.I watched geekyranjit sir's review and bought this one.Best in the price range. Used redmi note 7 pros for 3 years before buying this and I can say realme UI >>>>> MIUI.As of now, I can say there are no bugs in here. And it's a very lightweight UI.I don't use the camera much but I can say it's capturing great pics. Played BGMI at the highest graphics and there was no lag at all, the gameplay was smooth. Though I am not a heavy gamer.T..."
53,"Heating issues, battery 🔋 back not good but quick change is very effective , only in 35 minutes Full charge, Camera nice but not as per my expectationsBetter to go for One plus Nord."
54,"Best product ... Excellent camera, great performance, battery drains fast... But not worry 65w super dart charge full in 35 min. Approximately.. nice design...Handy phone."
55,"This phone is a super fast phone and very light phone and perfectly fits on our hand. Only disappointed is on the speakers, this phone doesnt have stereo speakers or dolby atmos support.Otherwise the phone is super smooth and very fast phone."
56,"1. Camera is Decent. (Both front and rear).2. Battery efficiency is great as compared to 4300mah.(65 watt charger in box is really fast, charge just in 30-35 mins)3. Screen quality really good. Peak brightness 1000 nits really feels in sunny day.4. SD778G is battery efficient and performance wise is also great.5. Device is really feels very light and thin. (gives premium experience)."
57,I am using this phone from one week it's running smoothly without any lag. Display is also good. Front camera is good in daylight and rear camera is average. In low light regular image is full of grains. In night mode it gets improved but over all camera performance is average. I am getting 1 day battery backup easily with moderate usage no gaming only calls and watching videos. If you want phone with good performance and display you can buy this phone. Do not buy if you want good camera.
58,Pros1. Display quite good.2.Light weight.3.Processing ability is good.I m not a gamer.4.Decent Camera.Cons1.Battery back up is avg.Lasts 12 hrs for standard user.2. Gray back cover provided by realme for black coloured GT master is pathetic.Quality not upto d mark.3.Back design is not available for black model.I think it's available for gray model only.4.I ve upgraded from realme 3 pro to GT master.believe me realme 3 pro is a far better device than this...many more features than GT ...
59,"I don't know why people are talking crazy for lack of battery life, for a guy like me using it whole day to call, office teams meating, checking and forwarding mail, listening music and watching videos on utube, Still at the end of day 30% battery still remains after full charging every morning,Go for it guys, it's a good one to have."
60,If this phone will come under 18thousand then it will be good the price is high for this specifications battery is not good
61,Realme GT master  monster phone....... Looking very  awesome
62,One word for this phone ......Master piece ❤️Camera is bang on 🔥🔥🔥Battery is good only 4300 mh bt with 65 dart charger 🔥🔥🔥 it make it 7000 mh charge 100 %on Just 30 minPhone look is awesome 😍 😍😍Display I bet no phone can beat it 💓💓💓I am loving every performance of this phone from camera to look to display Everything is fab Just go For it only problem I face was delivery from ekart they take too much time in delivery of product.
63,"Bought this beautiful phone in Diwali Sale (Voyager Grey, 8+256 GB) after lots of research and reviews over internet.It is really a wonderful and power packed phone. Best phone in this price range. Everything is as expected. Display, Camera, Sound, Battery backup, processor and the Realme UI is just awesome. 👌🏻The suitcase design is very attractive and eye catching. 😍Overall the phone is a fully value for money product. In love with it. 💕"
64,"1. BATTERY- Battery Charging and Withstanding hours are Just awesome. 2. CAMERA- Clarity of camera awesome3. WEIGHT- Light weight4. FEATURES- More features. My previous is poco X2 , more features in REALME UI more than Mi UI. Customisation can done as per your need. 5. In offer I get this for 25,000 - worth for money64mp - LeavesSelfie Potrait - Wall sticker"
65,"Great phone to buy under 20k. Great performace, camera, display. Two things which could be better are: speaker (no dual speaker), battery performance (drain very quickly, cannot expect to last more than 12 hours with GPS on)Xiaomi 11 lite ne 5g is too similar, both based on snapdragon 778g chipset. That had some advantage of slimmer size, better display, dual speaker, but lacked in terms of refresh rate.Go for anyone of these if priced below 20k."
66,Camera is good and also battery is ok for daily averge use. Performance is good and good rigidity. Display very good. Audio quality not stereo type in headset and not good like Samsung or other premium phones. Sound quality with headset is dull.
67,Sleek stylish handy Truly MasterDesign is awesome. Performance is good.Overall a good phone in this price range.
68,Phone is amazing but if u want to buy it so go for X7 max X7 max is far better than gt master
69,Here are the problems that I have faced1.The delivery took too long almost 12 days and it's the first time I'm getting something so late.2. Battery is meh. It charges really fast so you probably won't find it that much of a problem. It drains for no reason. Also the phone heats up a lot while charging.3. Touch is not the best. It is responsive but not as good as I thought.The Oled looks great though.
70,"I am writing this review after using it for one month. Certainly I am liking it. But there are pros and cons.Pros-1. Screen quality is awesome, brighter and viewing experience is good.2. 120hz display, love to scroll.3. Processor is really good. Gaming experience is nice.4. Lite weight. In-hand feel is nice.5. Selfie camera is good.6. 65w charger. Complete charging in 33 mins. 7. Most of the Google apps can be used as primary apps.Cons-1. Too much bloatwares. First mobile in which..."
71,I bought in the sale at a very descent rate and was good at that price . I won't recommend you this phone at this price as it is not performing like 30k . But it is good at 24k . Overall the features are good. I bought it 15 days ago and till now I have good experience with this phone.
72,"First of all I will give zero star to Flipkart for their Fraudulent offers anad cheating customer in the name of exchange offer.About Phone REALME GT MASTER EDITION 8GB 128.PROS1 FAST PROCESSING SPEED.2 FINGERPRINT SCANNER IS EXCELLENT AND SUPER FAST .3 DISPLAY IS GOOD BUT NOT LIKE SAMSUNG SUPER AMOLED SCREENS.4 CAMERAS ARE BETTER.5.PHONE IS HANDY AND EASILY XAN OPERATE BY 1 HAND.6.EXCELLENT SUPERFAST CHARGER.CONS 1.BATTERY, IT IS VERY POOR BATTERY MANAGEMENT, FOR MEDIUM TO HEAVY..."
73,"Design is pretty good and light weight mobile.Processor is also nice for normal users who uses camera and social medias and browsing.For gaming it's good only but my suggestion is to go with Snapdragon 870 or more for better smooth experience.Now coming to camera it's not that much what they say.very poor camera experience in recent smartphones.It is clear when u take pic in both front and back cameras but when you zoom it,you will really hate it.They say it has 64megapixel back cameras a..."
74,Good mobile but I expected still more coming into the display and processor . overall good experience I got for lower price with smart upgrade and exchange.. nearly 10k
75,"It's Smooth Glider. If you are upgrading to this device after 60hz IPS display. First month you will never give it rest.30 min ful charge, all day backup. On realme 3.0 they work seperately on 'Smooth engine' make even smoother.If you are looking for upgrading or you are under budget. I suggest you make your budget and buy it , rather than buy any under budget normal device.As it named Master Edition they mean it.🔥"
76,"Good and smart phone but battery drain fast is a one issue with this phone, need good battery backup others wise good phone"
77,"Worth for money, smooth and silky. Very compact in size and excellent camera. Battery backup for one day when we use hotspot for 9hrs. Getting heat when we use mobile data eventhough hotspot is off. Overall very good model in realme. I love it."
78,Suppar phone valu per money good camara good speed and good batary and amazing future
79,"What is expected from a flagship Product, is missing.Mainly, the battery does not support even 20 hours for normal usage. Fast charging is available but you cannot charge every 10 hours.Camera is good. This feature is as anticipated. Both front and back camera.Design is awesome.All is all, good budget phone but not capable to make a flagship product.""Realme"" has already set the standards up  in mobile phone segment.. So,  it's obvious that customers expect a good product always."
80,It's pure value for money product.Pros:1)It's superdart charger full charge mobile in 25-30 min max.2) amoled display gives crisp & clear videos3)super smooth operation.4)good bettery back up- when I was using 4000 MAH battery it hardly last for 1 day. This phone gives 1 and half day bettry.5) photo's are good not best.6) This phone is very slim.7) no heating issue.Cons:Pre-installed many least required apps( you can remove it manualy).Go for it.
81,Everything is good. But Battery is not soo good but yeah charging is super fast and also camera is good in light but at night its just worst. Performance is awesome and heats very less compared to other phone of this price range except while charging.
82,Realy awesome phone  Good gpu and cpu management. Good camera. Overall an awesome phone.
83,"Review after using 20 daysDesign and display quality is pretty good.Battery drains so fast.Really disappointed with camera quality . As per phone specifications Realme say back camera 64 mp but it works as 8mp, front camera is 32 mp but works as 8 mp . When you zoom the picture it shows no detail about the picture. Camera quality is worst above the 10k mobile range phone. My old honor 8x camera is much better than this 29k mobile. Real me needs to work on this 29k mobile camera  updation ..."
84,"One day late delivered my item, I think mobile was missing in this time,,, but received right mobile and I checked everything working fine,,,,,... But Flipkart cc team not helping properly, ... Any way mobile is very good and best price in bbday sales"
85,"COMPLETELY WASTE OF MONEYCons:- Worst battery life,            Below average camera performance,Pros:-Good display,           Fast charging,           Software performance is better than MIUIRecommendation:- do not purchase.However,if     you can get this at lowest price only then you should consider this otherwise it wil disappointing in terms of camera and battery life ,if you pay 25k or more than that, because this phone only deserve 20k to 21k price tag"
86,Battery is worst and draining in 6 hours Not a valuable purchase Request for replacement 3-4 times but everytime issues not resolved
87,Bad quality
88,Not like janun product
89,"The best phone under 25 k provides good display, performance,decent camera look.Also if you are not heavy user then you will get one day battery backup without any problem.Just haptic feedback is not that good.In camera starry mode is also a good features like in pixel provides their phone"
90,The smartphone is really good and i got it for 14k as i have made an exchange.The exchange and all went well and device is ideal for anyone looking for a better cam and display.Mid range gaming performance also.
91,First of all it had call recorder but it indicates that your call has been recorded. I face a major problem that it has automatically came on do not disturb mode without selecting and schedule which disturb a lot. Battery backup is very good. camera quality is very good.
92,If u want a mobile for  non gaming and smooth performance den go for it...its value for money..if u can afford some more money den go for gt neo 2...
93,In-hand fell phon awesome
94,Battery is not good
95,Superb Phone ❤️ But Battery 🔋 Drain Problem
96,The perfect mid ranger device with absolutely perfect hardware and software integration. Go for the Voyager Grey edition it's absolutely flawless unique design out there.
97,Excellent at this plan by flipcart.Thanks to flipcart.Go for it
98,Value for moneyNice display andReally super fast charging ☺️Good camra Good performance
99,Everything is good except the battery
100,Camera quality excellent.Heavy Battery issue 4 5 hr internet on and not use it's 20% use of battery how is thats possible but yes heavy battery issue
101,Day photography is awesome.... .But low-light and night photoshoot is worst......Display is superb🤟🤟......and playing BGMI and Freefire is awesome 😎.......
102,Really camera & Display is awesome. Actually satisfied buy this phone. Battery very nice with 60hz display.
103,Camera is great for those who love photography .
104,overall a good buy. Camera performance is awesome.recommand this for others.
105,Very good cameraSuper fast Change
106,Best mobile phone alright do not problem anything by now not waste your money best phone on the world I hope
107,This phone has many bugs and troubleshooting like all of sudden your contact may be automatically deleted from phone .and while on going call if you lock your phone then many times it misbehaving and  ask you for entering password which will not worked till you switch off your phone . Every time during ongoing call if all of sudden your phone went back to home screen mode then it will never take your password either you entered right password or wrong it will shows that you have entered wrong...
108,Superb
109,Premium feeling. Love this phone. Over all 8/10. Because Baterry backup very bad.
110,I love this phone...
111,"Using this one from almost 10 days now.Loved it. Very smooth and camera is also decent.I got 8,128 gb version in 23k.. and i think it's worth the money."
112,Mobile very nicely 👌👍👍👌 but compare to Small display other mobile...
113,Loved the product. Reasonable price.Nice charging speed.Smooth experience with UI.Some bloatware was there.
114,Most recommended for gamers
115,Everything is cool but the battery could be better
116,"I don't know why people given negative or mix review for GT.Phone is just superbQuick delivery by flipkart.Came with protactant glass and cases fingerprint sensor fastFace detection perfectLots of gestures and new thingsAudio sound is also very crystal clearvery quick charging, 30% + just about 10 min.Display is also superbTouch is very smooth And if GT Mode is ON, phone is on another level ,super fast.Share some snap also with different mode.Video slow motion time lapse all are ..."
117,No auto call recording. Manual call recording with announcement to calling person that call is recording.
118,This mobile is awesome
119,"Main problem is battery pickup... Charging is good , it will take 30min to get full charge..but the thing is that charge will go if mobile I am not using also😌4000mah is not bad but this mobile battery pickup problem. U people wil get tired ..bcz anywhere u go u just want to put ur mobile charge this is my problem now"
120,Battery drainage very first
121,Realme GT ME has some Battery drainage issue And Average quality of Camera.It should be Optimised perfectly
122,Product is very good but Flipkart delivery is not good.
123,I recently purchased a Realme GT Master edition which got delivered on 13-10-2021 and on my 1st usage i was unable to hear on my Mobile Ear speaker and could only hear other voice on Speaker Phone and perhaps a defective handset has been sold to me.Very disappointed from Realme . This was my 1st Realme phone and dont know what to do with this brand New defective handset sold to me .
124,"Camera, features, weight balance, design etc are very good and charging speed is awesome. Battery is ok and can easily run upto one day. I feel rates are slightly on higher side. Rest is Ok."
125,Camera 📷 and performance is awesome ...... And charging super awesome 🥰
126,I m very happy after buying it in just 19500 with 8gb ram and 128gb storage it's a flagship level phone I really thanks to flipkart for giving me this product and I really loved the looks and performance also it's battery backup is also good and 65 watt fast charging damn it's just killer performance 🔥🔥😎
127,I recently purchased a Realme GT Master edition which got delivered on 13-10-2021 and on my 1st usage i was unable to hear on my Mobile Ear speaker and could only hear other voice on Speaker Phone and perhaps a defective handset has been sold to me.Very disappointed from Realme . This was my 1st Realme phone and dont know what to do with this brand New defective handset sold to me .
128,Seller is very bad....Audio is also not good...
129,First of all the phone is too gud the camera is great performance is great screen is great everything is superb the charging is ultra fast it can be full charged in just 30 min(approx) design also stands apart from rest of the other manufacturers designs  but the battery life is not that great i purchased the 8 256  variant & the idle drain is too much over night it drains 4-5 % of battery even in power saving mode on an average iam getting only 6hrs of SOT snapdragon 778G is very power effic...
130,Worst phone bad camera at this price range
131,Back camera is worst .
132,"best value for money combo of design, performance, camera and battery plus latest technology"
133,Mobile sound very low and finger print response very low and battery backup is also low
134,No auto call recording. Manual call recording with announcement to calling person that call is recording.
135,Nic phone for  23000   value for money
136,I loved it
137,Amazing experience...🎉🎉😍😍🤩🤩🥳🥳
138,I m very happy after buying it in just 19500 with 8gb ram and 128gb storage it's a flagship level phone I really thanks to flipkart for giving me this product and I really loved the looks and performance also it's battery backup is also good and 65 watt fast charging damn it's just killer performance 🔥🔥😎
139,poor camera
140,Good phone But battery seems little bit low
141,Really a Master...
142,Pros: Good at 19499/-  price point( 8gb/128 gb) in big billion day sale. no complaints except oneCons: battery needs to be charged twice in a day. It's like having high performance bike with less fuel tank capacity.  If possible if  realme provides some software update to extend battery life then it is a very good choice.....
143,"I don't know why people given negative or mix review for GT.Phone is just superbQuick delivery by flipkart.Came with protactant glass and cases fingerprint sensor fastFace detection perfectLots of gestures and new thingsAudio sound is also very crystal clearvery quick charging, 30% + just about 10 min.Display is also superbTouch is very smooth And if GT Mode is ON, phone is on another level ,super fast.Share some snap also with different mode.Video slow motion time lapse all are ..."
144,Everything Is Perfect .just Awesome  battery it gives 5 to 6 hour screen on time and 20 min to 20 to 80%Great Camera & PerformanceSome Samples Are Here
145,Premium feeling. Love this phone. Over all 8/10. Because Baterry backup very bad.
146,Awesome camera
147,"Camera quality need to be improve more  and ,  battery also need to charge 2 times a day if u are a heavy user , display and performance seems good .. i can say that its a all rounder budget phone ."
148,Camera is good morning but battery performance not good
149,SUPPERB 👌👌
150,"Very bad... Camera quality is not good..,Mob heating on charging timeVideo recording time mob hearing"
151,Most powerful mobile and camera is good
152,Super cemra
153,Awesome mobile. 🤩🤩🤩
154,Good camera
155,BGMI graphics should be 90 fps like realme x7 max!
156,Loved the product. Reasonable price.Nice charging speed.Smooth experience with UI.Some bloatware was there.
157,Most recommended for gamers
158,Everything is cool but the battery could be better
159,This phone has many bugs and troubleshooting like all of sudden your contact may be automatically deleted from phone .and while on going call if you lock your phone then many times it misbehaving and  ask you for entering password which will not worked till you switch off your phone . Every time during ongoing call if all of sudden your phone went back to home screen mode then it will never take your password either you entered right password or wrong it will shows that you have entered wrong...
160,Amezing Experience
161,"Nice camera, best performance of mobile"
162,This mobile is awesome
163,"Main problem is battery pickup... Charging is good , it will take 30min to get full charge..but the thing is that charge will go if mobile I am not using also😌4000mah is not bad but this mobile battery pickup problem. U people wil get tired ..bcz anywhere u go u just want to put ur mobile charge this is my problem now"
164,"Useless mobile, did not like it at all, it heats up, not worth  32k, even with a discount on big billion days 23k is useless too. My son's 2 years old Honor 20i with 12k beats this model so easily. I did go with realme as my other family member had it, but this time, this model is worthless for sure. Not sure what is the premium features this has to cost so much.Heating is a too bad sign. The battery drains too fast too, not more than 12 hours."
165,Clearly picture and camera take natural picture. Overall good phone.
166,Good
167,Waste of money
168,"Reviewing after 1 week usage, got this in BBD sale for 19k after exchange and bank offers.For 19k it brings value for money, feels premium.Display is good with 1000 nits peak brightness.Leather back is quite a unique designIn hand feel is good. Some bloatware notifications are being pushed out by realme apps but can be easily disabled with tweaks in settings. Night mode is good.100% charged in 33 mins thanks to 65w superdart charger."
169,Superb Display Super Fast  Charging Superb Camra
170,It's best quality
171,Nice master
172,Battery backup was wrost
173,Nice Product for PUBG
174,If you want a real mid range flagship under 30k then this is it. I absolutely loved this. But it would have been better if they had 5000mah battery. 4300mah is too less. I just got it today and I will update my review after a month.
